Text,Title,Image,Field,anchornav_URL,anchornav
,Thales,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-thales-logo.png,"After implementing AWS, the company chose CloudHealth by VMware for its ability to centralize costs and implement their FinOps strategy.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/a-multifaceted-company-executes-their-finops-strategy-with-cloudhealth,LEARN MORE 
,Achmea,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-achmea-logo.jpg,VMware Cloud Foundation offers a scalable platform that enables continued digitization and innovation and the best online service for customers.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/vmware-a-scalable-platform-for-continued-innovation-and-better-services,LEARN MORE 
,Clark County,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-clark-county-logo.png,"VMware solutions support US county’s digitization strategy, enabling better access to citizen services and a flexible working culture.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/citizen-services-at-the-click-of-a-button,LEARN MORE 
,Sterling National Bank,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-sterling-national-bank-logo.png,VMware Cloud on AWS enables New York bank to embrace the public cloud. The bank  can now get new products to clients faster and enhance efficiency.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/first-traditional-bank-to-fully-operate-in-the-public-cloud,LEARN MORE 
,GSL General Hospital & Medical College,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-gsl-logo.jpg,Industry-leading healthcare institution makes a seamless transition from legacy to virtualized IT infrastructure with VMware and DigitalTrack,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/leveraging-vmware-solutions-for-an-enhanced-patient-experience,LEARN MORE 
,Johnson Winter & Slattery,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-jws-logo.png,VMware helps this innovative firm to accelerate its cloud migration in the traditionally risk-averse legal industry to enable secure access anywhere.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/rethinking-hybrid-cloud-in-risk-adverse-legal-sector,LEARN MORE 
,Sparkassen-Finanzportal GmbH,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-sparkassen-finanzportal-logo.png,"The central communication service provider bundles isolated real estate solutions with VMware Tanzu Labs and gives the ""S-Immobilienportal"" a makeover",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/consistent-digital-brand-experience-thanks-to-central-service-provider,LEARN MORE 
,Negros Women for Tomorrow Foundation,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-nwtf-logo.png,VMware SD-WAN enables a client's rapid business expansion and provides an enhanced customer experience.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/digitalizing-financial-inclusion-with-vmware-sd-wan,LEARN MORE 
,Antwerp Police Department,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-politie-logo.png,"A new IT infrastructure based on VMware vRealize, VMware Horizon, VMware vSAN and Partner HPE, helps the police create a safer Antwerp.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/antwerp-creates-a-safer-city-using-better-technology,LEARN MORE 
,Preston’s College,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-preston-college-logo.jpg,"VMware Horizon delivers a secure, remote learning environment, enabling a further education college to continue teaching during the COVID-19 pandemic.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/creating-a-dynamic-learning-experience-beyond-the-physical-classroom,LEARN MORE 
,ALSTOM,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-alstom-signature-logo.jpg,The hyperconverged infrastructure helps support the modernization of the production platform and deals with issues of scalability,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/vmware-helps-ease-amsterdams-traffic-woes,LEARN MORE 
,KB Insurance,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-kb-insurance-logo-en.png,VMware Tanzu Enhances the Mobile Experience to Support Mask Services.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/insurance-company-creates-a-platform-to-support-mask-service,LEARN MORE 
,DenizBank,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-deniz-bank-logo.png,"The Turkish bank chose VMware Cloud Foundation, NSX and vSAN to build a secure, stable and high-performance infrastructure.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/the-bank-chooses-vmware-cloud-foundation-to-decrease-inefficiencies,LEARN MORE 
,British Heart Foundation,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-bhf-logo.png,"The UK’s leading heart charity has delivered a resilient, robust and reliable technology foundation with VMware NSX Data Center and VMware vSAN",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/delivering-business-continuity-in-a-pandemic,LEARN MORE 
,Sumitomo Bakelite High Performance Plastic Product,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-sbhpp-logo.png,Major supplier to the automotive sector implements VMware SD-WAN to deliver a fast and secure link connecting three European locations.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/replacing-a-classic-mpls-data-line-with-a-modern-sd-wan-solution,LEARN MORE 
,BraunAbility,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-braun-ability-logo.png,Mobility vehicle company brings cybersecurity to the forefront with VMware Carbon Black.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/flexible-security-across-growing-manufacturing-environment,LEARN MORE 
,"De Gaulle, Fleurance & Associés",https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-de-gaulle-fleurance-associ%C3%A9s-logo.png,"Desktop virtualization with Selceon. Data centralization, desktop management, security... with VMware Horizon and VMware Workspace ONE.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/virtualized-environment-comfort-productivity-and-security,LEARN MORE 
,DVZ M-V GmbH,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-dvz-logo.jpg,"The IT service provider, together with evoila group, implemented a new platform based on container technology with VMware Tanzu™ Kubernetes Grid.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/container-technology-paves-the-way-to-the-digital-future,LEARN MORE 
,Telekom Malaysia,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-telekom-malaysia-logo.png,VMware TKGI enables client to scale on demand to meet growing user and application needs with greater operational efficiency,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/app-modernization-journey-to-drive-business-growth,LEARN MORE 
,eurofunk Kappacher GmbH,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-eurofunk-logo.jpg,The austrian security specialist combines security with usability and introduces a Zero Trust model thanks to VMware NSX and partner Bechtle.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/vmware-nsx-and-zero-trust-for-better-security-and-usability,LEARN MORE 
,Genghis Capital,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-genghis-capital-logo.jpg,Investment bank seamlessly switches to remote working using VMware Workspace ONE.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/investment-bank-adopts-a-secure-and-reliable-remote-workplace-solution,LEARN MORE 
,Mercedes-Benz.io,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-mercedes-benz-io-logo.jpg,VMware Tanzu Application Service enables car manufacturer to scale application environments and build a seamless online customer experience.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/building-an-entirely-virtual-consumer-experience,LEARN MORE 
,regio iT,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-regio-it-logo.jpg,The German IT service provider put an end to traditional ways of working and welcomes new developments with VMware Horizon.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/no-more-traditional-working-models-due-to-virtual-desktops,LEARN MORE 
,Wistron Corporation,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-wistron-logo.jpg,Embraces VMware vSAN to enable the cost of building common storage drastically reduced,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/introduced-vmware-vsan-hci-to-drive-it-modernization-at-full-pace,LEARN MORE 
,JKP Informatika Novi Sad,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-jkp-Informatika-novi-sad-logo.jpg,"Municipal IT and internet service provider in the town of Novi Sad, Serbia, overhauled its entire infrastructure to improve resilience of its systems.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/modern-innovations-improve-service-quality-for-end-users,LEARN MORE 
,Accent Micro Technologies (AMTI),https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-amti-logo.jpg,VMware Workspace ONE and VMware Carbon Black enabled the systems integration company to provide tech solutions to customers while working remotely.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/breaking-business-records-during-lockdowns-with-remote-work,LEARN MORE 
,Progress Residential,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-progress-residential-logo.jpg,VMware Carbon Black Cloud™ helped redefine security management and improve overall security posture.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/leveraging-the-power-of-a-single-platform-with-vmware-carbon-black,LEARN MORE 
,Federal Bank,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-federal-bank-logo.jpg,Leading Indian private sector bank partners with VMware to drive cloud-based digital transformation and achieve faster time-to-market.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/a-cloud-first-approach-to-ensure-robust-it-environment-with-vmware,LEARN MORE 
,STUDENT AGENCY,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-student-agency-logo.jpg,This Czech leader in travel and transport reduced overall management complexity and allowed implementation of technologies that support business.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/iaas-for-critical-systems-gives-it-teams-free-rein,LEARN MORE 
,"COLOPL, Inc.",https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-colopl-cs-logo.jpg,Leveraging VMware Carbon Black to reduce time spent on investigations down to seconds.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/reducing-threats-investigation-time-with-vmware-carbon-black,LEARN MORE 
,Kaas Tailored,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-kaas-tailored-logo.png,Simple interface helps small manufacturer stop attacks.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/no-nonsense-security-with-vmware-carbon-black-cloud,LEARN MORE 
,Coincheck,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-coincheck-logo.png,Financial Services provider in Japan keeps their strictly cloud environment secure with VMware Carbon Black Cloud  Endpoint Standard™.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/prioritizing-threats-vmware-carbon-black-endpoint-standard,LEARN MORE 
,Bob Evans Farms,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-bob-evans-farms-logo.png,Maximizing resilience and minimizing technical debt.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/migrating-to-the-cloud-with-minimal-disruption,LEARN MORE 
,MSD of Mt. Vernon,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-msd-mt-vernon-logo.jpg,Indiana school district finds security solution that allows them to put their students and teachers first.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/school-district-boosts-cybersecurity-responds-emerging-threats,LEARN MORE 
,OFS,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-ofs-cs-logo.png,Family-owned retail furniture company sees significant time savings with expert threat validation.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/preventing-breaches-with-expert-threat-validation,LEARN MORE 
,Lambda Marketing Solutions,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-lambda-logo.jpg,"Pakistan’s media-on-demand pioneer relies on Jazz Cloud, built on VMware Cloud Foundation and VMware Cloud Director, to deliver content to consumers.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/bringing-real-time-content-to-millions-in-pakistan,LEARN MORE 
,World Wide Technology,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-wwt-logo.jpg,VMware Carbon Black Cloud™ Workload increases team collaboration for technology company.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/technology-company-increases-visibility-through-unified-security,LEARN MORE 
,Millicom Tigo,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-tigo-background-logo.jpg,"Built, streamlined and implemented a foundation to expand Telco Cloud to deliver 5G services.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/accelerating-its-5g-journey-by-building-a-telco-cloud-with-vmware,LEARN MORE 
,Municipality of Haarlem,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-gemeente-haarlem-logo.jpg,"By opting for VMware Cloud Foundation and VMware Workspace ONE, this Dutch municipality has  taken a five-year leap forward in its digitization.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/vmware-offers-a-stable-it-foundation-to-strengthen-digital-services,LEARN MORE 
,Netalia,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-netalia-logo.jpg,"Through VMware Marketplace, the Italian cloud provider offers clients an extensive and continuously updated catalog of services and cloud templates.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/deployment-times-are-reduced-thanks-to-vmware-marketplace,LEARN MORE 
,"Micro-D International, Inc (MDI)",https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-mdi-logo.jpg,Systems integration company relies on VMware Premier Support to reduce the number of missed service-level agreements with enterprise cloud customer.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/resolving-customer-issues-in-half-the-time-with-vmware-premier-support,LEARN MORE 
,Vizrt,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-vizrt-logo.jpg,A cloud solution built on VMware cloud technologies is making it easy for broadcast customers to spin up and spin down systems very quickly.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/leading-provider-of-media-tools-offers-broadcast-customers-flexibility,LEARN MORE 
,Opsta,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-opsta-logo.jpg,"Startup partnered with VMware Cloud Provider to build the first developer cloud-ready solution, helping companies onboard their applications faster.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/building-a-devsecops-cloud-solution-for-mass-customers,LEARN MORE 
,Blendata,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-blendata-logo.jpg,Data analytics startup converted its no-code platform into a software-as-a-service cloud solution to make it more accessible to local enterprises.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/making-data-analytics-accessible-with-vmware-cloud-solution,LEARN MORE 
,Grupo Monge,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-grupo-monge.png,Retail sales company needed to implement a technology that delivers self-driving IT operations management for business continuity.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/retail-store-achieves-continuity-by-implementing-vmware-solution,LEARN MORE 
,Modemakers,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-modemakers-logo.jpg,Belgian fashion specialist assures business continuity with VMware vSAN and partner ePact.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/business-continuity-assured-with-a-hyperconverged-infrastructure,LEARN MORE 
,Bharti Airtel Limited (Airtel),https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-bharathi-airtel-logo.jpg,"India’s leading telecom player partners with VMware to simplify its security operations and make it robust, while ensuring rapid time-to-market.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/moving-away-from-legacy-to-automated-operations-by-leveraging-vmware,LEARN MORE 
,Deutsche Telekom,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-deutsche-telekom-logo.png,"A CEO of a leading European telco describes how innovative new technology, such as 5G, can help drive human connections and promote cultural exchange.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/keeping-everyone-connected-even-in-challenging-times,LEARN MORE 
,Australian Securities Exchange,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-asx-logo.png,One of the world’s leading listed exchange groups revamps its IT infrastructure with VMware Blockchain.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/accelerating-business-growth-and-overcoming-legacy-it-with-vmware,LEARN MORE 
,Wesleyan University,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-wesleyen-university-logo.jpg,"The university gets a complete network picture, from the end user to the service level, with VMware Edge Network Intelligence™.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/vmware-wesleyan-university-gains-comprehensive-network-insight-with-vmware-solution,LEARN MORE 
,"Minuto de Dios University Corporation, UNIMINUTO",https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-minuto-de-dios-university-corporation-logo.jpg,"University implements VMware Cloud Foundation™, with the help of VMware partner GREEN, to modernize its digital platform.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/vmware-hyperconverged-infrastructure-enhances-educational-experience,LEARN MORE 
,Duke Energy,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-duke-blk-logo.png,VMware Tanzu enables real-time updates for more than 1.5 million customers facing frequent power outages.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/utility-provider-powers-lives-with-vmware-technology-and-tanzu-labs,LEARN MORE 
,Villeroy & Boch AG,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/logo-villeroy-boch.jpg,"Global ceramic producer expanded its digital infrastructure, using VMware vSAN to migrate to a VMware hybrid cloud ready data center with OVHcloud.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/global-player-in-e-commerce-optimizes-web-experience-for-customers,LEARN MORE 
,Suffolk University,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-suffolk-university-logo.png,"With VMware Edge Network Intelligence™, this Boston-based university can not only solve network problems, but predict and prevent them.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/university-gains-panoramic-view-into-their-network-with-big-data,LEARN MORE 
,Brandeis University,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-brandeis-university-logo.png,"VMware Edge Network Intelligence™ provides a single source of network truth, giving this university actionable intelligence and solutions.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/university-gains-full-network-visibility-with-vmware-solution,LEARN MORE 
,WVV,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-wvv-customer-logo.png,German utility company realizes innovative technology and sustainability with VMware Workspace ONE and partner SVA.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/sustainable-utility-management-enabled-by-vmware-workspace-one,LEARN MORE 
,"Victoria University, Melbourne Australia",https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-vu-logo.png,Higher education provider’s technology roadmap with VMware Horizon® and VMware Workspace ONE® Access™ supporting on-campus experience online.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/university-providing-access-from-anywhere-to-employees-and-students,LEARN MORE 
,"City of Venice, Florida",https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-city-of-venice-logo.jpg,VMware Carbon Black Cloud™ empowers transparent and agile digital government.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/local-government-unifies-security-with-vmware-carbon-black-cloud,LEARN MORE 
,Centre for Railway Information Systems,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-cris-logo.jpg,Leading public sector IT organization unites with VMware and partner SISL Infotech to modernize its data center with future ready technology platform.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/seamless-cloud-deployment-for-faster-app-roll-out-by-leveraging-vmware,LEARN MORE 
,SK hynix,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-sk-hynix-en-logo.jpg,Leading semiconductor manufacturer teams up with VMware to drive a digital transformation.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/global-manufacturer-leads-their-digital-transformation-with-cloud,LEARN MORE 
,Steelcase,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-steelcase-logo.png,VMware Tanzu Labs helped an office furniture manufacturer adopt cloud native practices and technology to reconceive a core business application.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2020/adopt-cloud-native-practices-with-vmware-tanzu-labs,LEARN MORE 
,T-Mobile USA,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-t-mobile-logo-for-case-study.jpg,VMware Tanzu Application Service keeps critical customer applications up and running without sacrificing app performance.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2020/keep-critical-apps-in-production-with-vmware-tanzu-application-service,LEARN MORE 
,Netflix DVD,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-netflix-dvd-logo.jpg,VMware Carbon Black Cloud™ enables effective threat hunting capabilities to protect internal and external environments for leading DVD rental service.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/using-the-vmware-approach-to-intrinsic-security-to-stay-safe,LEARN MORE 
,Ficohsa Group,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-ficohsa-group-logo.jpg,"The bank implemented VMware Horizon Cloud on Microsoft Azure, with the help of VMware partner Grupo Sega, to halt a drop in company productivity.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/financial-group-recovers-its-productivity-with-vmware-solutions,LEARN MORE 
,NTT DOCOMO Inc.,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-ntt-docomo-inc-logo.jpg,VMware Cloud Foundation helped leading mobile communications operator develop a cloud platform for the 5G era within half a year.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/developing-a-co-creation-platform-for-5g-service-solutions,LEARN MORE 
,Food Passion,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-food-passion-logo.png,"To adapt quickly to customer needs, leading restaurant chain migrated key functions to AIS Business Cloud, built on proven VMware technologies.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2021/how-a-leading-restaurant-chain-started-a-delivery-channel-in-72-hours,LEARN MORE 
,NLMK Group,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-20q4-nlmk-enlogo1.png,"Centralized, easy-to-support, secure network supports metallurgical company’s 36 geographically dispersed sites.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2020/intelligent-and-user-oriented-network-drives-fast-app-delivery,LEARN MORE 
,Australia Post,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-aus-post-logo.png,VMware technology is supporting a 210-year-old Australian business to transform its digital infrastructure and support thousands of employees.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2020/essential-community-service-empowers-its-workforce,LEARN MORE 
,Deutsche Telekom IT Solutions RUS,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmware-deutsche-telekom-it-solutions-rus-logo.png,VMware Cloud Foundation helped to deploy compute resources and environments in a Private Cloud and reduced processing time to 20-30 minutes.,https://www.vmware.com/in/company/customers/index/fullpage.html?path=2020/vmware-cloud-foundation-helps-boost-software-developer-productivity,LEARN MORE 
,The Netherlands Cancer Institute,https://www.vmware.com/content/dam/digitalmarketing/vmware/en/images/customers/logos/vmw-the-netherlands-cancer-institute-logo.png,"By deploying VMware Workspace ONE and VMware Horizon, researchers analyse data in days instead of weeks, accelerating breakthoughs in cancer research.",https://www.vmware.com/in/company/customers/index/fullpage.html?path=2020/vmware-technology-accelerates-breakthroughs-in-cancer-research,LEARN MORE 
